Date	Commit	CMF	CML	CMVL	CSF	CSL	CSVL	CBF	CBL	CBVL
2011/07/18	7f27cda	0	0	0	1	8	0	0	0	0
2011/07/18	5763181	0	0	0	1	11	0	0	0	0
2011/07/18	0cd85e6	0	0	0	1	11	0	0	0	0
2011/07/18	680ba7c	0	0	0	1	3	0	0	0	0
2011/07/18	81fc70d	0	0	0	1	26	0	0	0	0
2011/07/18	02c5172	0	0	0	2	12	0	0	0	0
2011/07/18	f9ab38b	0	0	0	0	0	0	0	0	0
2011/07/18	5479de6	0	0	0	3	31	0	0	0	0
2011/07/18	0901edb	0	0	0	1	27	0	0	0	0
2011/07/18	5829656	0	0	0	1	191	0	0	0	0
2011/07/18	943c339	0	0	0	3	260	0	0	0	0
2011/07/18	43b52a5	0	0	0	2	44	0	0	0	0
2011/07/18	21ec489	0	0	0	1	22	0	0	0	0
2011/07/18	6c2c1ed	0	0	0	1	23	0	0	0	0
2011/07/18	78fa99a	0	0	0	5	51	0	0	0	0
2011/07/18	d47d78d	0	0	0	1	7	0	0	0	0
2011/07/18	c54dcd1	0	0	0	1	2	0	0	0	0
2011/07/18	18dfa49	0	0	0	1	14	0	0	0	0
2011/07/18	09779ad	0	0	0	1	2	0	0	0	0
2011/07/18	2683d65	0	0	0	4	13	0	0	0	0
2011/07/18	d9ba5fe	0	0	0	1	66	0	0	0	0
2011/07/18	a07c796	0	0	0	1	6	0	0	0	0
2011/07/18	fec11dd	0	0	0	1	100	0	0	0	0
2011/07/18	61b8013	0	0	0	2	9	0	0	0	0
2011/07/18	eb0dc4b	0	0	0	1	5	0	0	0	0
2011/07/18	0b8f627	0	0	0	1	4	0	0	0	0
2011/07/18	bab632d	0	0	0	3	236	0	0	0	0
2011/07/18	5c74501	0	0	0	1	12	0	0	0	0
2011/07/18	0c9361f	0	0	0	1	80	0	0	0	0
2011/07/18	817b54a	0	0	0	3	28	0	0	0	0
2011/07/18	7102ebc	0	0	0	1	77	0	0	0	0
2011/07/18	24e0198	0	0	0	3	18	0	0	0	0
2011/07/18	6d38ca01	0	0	0	1	11	0	0	0	0
2011/07/18	2960e6c	0	0	0	2	26	0	0	0	0
2011/07/18	d46eb36	0	0	0	3	102	0	0	0	0
2011/07/18	823eb1c	0	0	0	1	18	0	0	0	0
2011/07/18	cb72318	0	0	0	4	72	0	0	0	0
2011/07/18	975d294	0	0	0	2	11	0	0	0	0
2011/07/18	c7b87de	0	0	0	2	14	0	0	0	0
2011/07/18	3e1be52	0	0	0	3	73	5	0	0	0
2011/07/18	6be5cc5	0	0	0	4	33	0	0	0	0
2011/07/18	66dbc325	2	15	9	8	620	4	2	8	3
2011/07/18	1601fba	0	0	0	2	63	0	0	0	0
2011/07/18	f381c27	3	9	7	9	468	3	3	16	7
2011/07/18	9d8f13b	0	0	0	14	433	0	0	0	0
2011/07/18	dc6b845	0	0	0	1	4	0	0	0	0
2011/07/18	524196d	0	0	0	4	31	0	0	0	0
2011/07/18	d36c301	0	0	0	6	99	0	0	0	0
2011/07/18	a406721d	0	0	0	3	14	0	0	0	0
2011/07/18	c8b7d43	2	23	12	17	810	0	3	7	2
2011/07/18	632b7cf	4	18	10	10	544	11	3	18	4
2011/07/18	af0e060	2	9	6	14	584	4	2	2	2
2011/07/18	3b607e3	0	0	0	1	159	0	0	0	0
2011/07/18	3214b96	0	0	0	1	400	0	0	0	0
2011/07/18	84a797d	0	0	0	1	41	0	0	0	0
2011/07/18	6b75e3e	0	0	0	2	43	0	0	0	0
2011/07/18	1091006	0	0	0	7	78	0	0	0	0
2011/07/18	3e98abf	0	0	0	3	18	0	0	0	0
2011/07/18	c225150	0	0	0	1	6	0	0	0	0
2011/07/18	1d07171	0	0	0	1	49	2	0	0	0
2011/07/18	013e896	0	0	0	1	37	0	0	0	0
2011/07/18	3adf004	0	0	0	1	25	0	0	0	0
2011/07/18	d3aaeb3	0	0	0	8	68	0	0	0	0
2011/07/18	c81c6b3	0	0	0	1	5	0	0	0	0
2011/07/18	ffd96e3	0	0	0	1	4	0	0	0	0
2011/07/18	6ce3284	0	0	0	1	8	0	0	0	0
2011/07/18	c65060a	0	0	0	1	23	0	0	0	0
2011/07/18	778ca01	0	0	0	1	44	0	0	0	0
2011/07/18	2c4193d	0	0	0	1	3	0	0	0	0
2011/07/18	e55b942	0	0	0	8	24	0	0	0	0
2011/07/17	69cce1d	0	0	0	29	340	2	0	0	0
2011/07/17	9cbb7ec	0	0	0	5	39	0	0	0	0
2011/07/17	8f40b16	0	0	0	8	95	0	0	0	0
2011/07/17	d462031	0	0	0	1	18	0	0	0	0
2011/07/17	015861b	0	0	0	1	4	0	0	0	0
2011/07/17	0916a5e	0	0	0	1	19	0	0	0	0
2011/07/17	3cc0658	0	0	0	1	12	0	0	0	0
2011/07/17	0577d1b	0	0	0	1	22	0	0	0	0
2011/07/17	642c937	0	0	0	1	12	0	0	0	0
2011/07/17	c6a0371	0	0	0	1	7	0	0	0	0
2011/07/17	a803b80	0	0	0	1	2	0	0	0	0
2011/07/17	f7d0d37	0	0	0	1	23	0	0	0	0
2011/07/17	3eb0865	0	0	0	1	22	0	0	0	0
2011/07/17	d7a1fee	0	0	0	1	29	0	0	0	0
